RARB	NR4A1	0
CITED2	STAT6	0
ACTN1	GAS6	0
TMOD1	MYL2	0
MED12	CDK19	0
JUN	FGF2	0
FGA	ITGA5	0
TPM2	TNNT1	0
S100A2	S100P	0
CLU	KNG1	0
DDX17	FOS	0
TNNC2	TPM1	0
MYO5A	CALM3	0
ABL1	MAP2K6	0
FOXA1	CCND1	0
HBB	HBA2	0
MYH7	MYL9	0
TPM1	CNN1	0
DDX17	ZWINT	0
GSK3B	BAX	0
NR2E1	NR4A1	0
MAX	HLF	0
PARP4	KIF3A	0
PARP4	PLK1	0
CDK1	LMNB1	0
SERPINF2	PF4	0
DPYSL3	MYO6	0
DMD	TPM1	0
PF4	FGF2	0
MYBPC1	MYL2	0
CCL5	ANXA1	0
MUC1	GSK3B	0
CORO2A	NR1H2	0
CD14	LTF	0
MAPK8	FAS	0
TEAD4	MYH7	0
FGB	F13A1	0
ZWINT	SPC25	0
KNG1	F13A1	0
COL9A2	COL14A1	0
FN1	EGR1	0
STAT1	CLU	0
F2R	ANXA1	0
JUN	TPM1	0
JUN	TPM2	0
KRT18	KRT5	0
SMAD3	PYGL	0
VIPR1	VIPR2	0
MYO10	CALM3	0
PLN	SLN	0
ATXN3	GSK3B	0
F2R	KNG1	0
DES	TTN	0
GSK3B	CCND1	0
F5	F13A1	0
PTTG1	CDC20	0
MYH11	MYOM2	0
LGALS3BP	IL6	0
SFPQ	NR4A2	0
TOP2A	JUN	0
TFRC	LTF	0
PTPN21	BMX	0
CDK1	CCND1	0
F2RL1	KNG1	0
FHL1	FHL2	0
CAMK2G	CALM3	0
TPM3	DMD	0
MYL9	TP63	0
PF4	ALB	0
SMAD3	FOS	0
CD24	SELP	0
ALB	KNG1	0
MAD2L1	BUB1B	0
DES	MYL2	0
PLK1	OPTN	0
AR	ETV5	0
ADRB2	VHL	0
COL4A6	COL14A1	0
IGHM	IGK@	0
DPYSL3	ACTC1	0
DES	CRYAB	0
LAMA1	LAMB2	0
IL6ST	IL6	0
HBG2	HBA2	0
FERMT2	ILK	0
MYO6	CALD1	0
TRIM29	KAT5	0
TTN	FHL2	0
PARP4	CALM3	0
ANXA2	CEACAM1	0
GAS6	AXL	0
SPP1	IGFBP5	0
TGFBR2	CCNB2	0
LAMA1	ITGB4	0
RGS10	GNAZ	0
CALD1	TPM1	0
TRAF4	KIF11	0
ITGA7	ITGB4	0
PLN	ATP2A2	0
TNNC2	TPM3	0
AR	TMPRSS2	0
UBE2C	PTTG1	0
MYH11	MYL1	0
BUB1B	CCNB1	0
MYLK	MYL9	0
F5	TGFB3	0
TNK2	NEDD4	0
ERBB3	CDH1	0
CDC20	AURKA	0
LMOD1	TPM2	0
COL9A2	COL11A1	0
TNNC2	DMD	0
LPAR1	CCL5	0
CHST3	VCAN	0
TFAP2A	AURKA	0
ABL1	KIAA0894	0
FN1	VCAN	0
SMAD3	PITX1	0
CDK1	GJA1	0
TGFBR2	CAV1	0
EYA1	GNAZ	0
FLNA	FZD2	0
TTN	TPM1	0
MYOM1	MYL9	0
DMD	TNNT1	0
HSPD1	NR3C1	0
TRPC1	FKBP4	0
SERPINF2	FGA	0
ACTB	SPTBN2	0
FOS	VDR	0
EDNRA	F2RL1	0
AR	FOXA1	0
IL15RA	AXL	0
TRPV6	CALM3	0
JUN	CDK1	0
ACTN1	CFD	0
MYH11	MYL9	0
GBP2	STAT1	0
MYO6	ACTC1	0
CACNB2	CACNA1D	0
SVIL	BUB1	0
ANG	ACTC1	0
VCAN	CCL2	0
MYH7	MYLPF	0
AR	IL6ST	0
KIF5B	SNAP25	0
HIST2H4B	KAT5	0
SERPINF2	FGL2	0
EZH2	CBX7	0
LPAR4	CCK	0
TPM3	MYL2	0
FN1	NID1	0
ATF3	SMAD3	0
F5	ALB	0
MAPK8	IGF1	0
TMOD1	TMSB10	0
AR	SVIL	0
MYL1	MYL2	0
KIF3A	CDK1	0
CDK1	BAX	0
S100A4	TPM1	0
ACTN1	F13A1	0
FGA	MFGE8	0
FLNA	TTN	0
CDH1	VCL	0
FHL2	ITGA7	0
CDK1	KIF11	0
AXL	NCK2	0
EZH2	CBX4	0
LPAR1	EDNRB	0
CCNF	CCNB1	0
AR	CDK1	0
DYNC1I1	BICD1	0
ACTA1	PALLD	0
CCL5	CXCL2	0
CAV1	PDGFRA	0
FZD5	GSK3B	0
NR2E1	VDR	0
DMD	CDK1	0
TNNC2	MYL1	0
NFYA	TM7SF2	0
TTN	MYOM2	0
TNC	NT5E	0
CYR61	ZWINT	0
KAT5	ACTG2	0
JUN	NFYA	0
EPHB6	NCK2	0
DTNA	SYNM	0
CHST3	CSPG4	0
CLU	VHL	0
MX1	EGR1	0
ERBB3	EGR1	0
PDE4D	PPP3CB	0
TOP2A	BLM	0
S100A4	MYH2	0
